"artifactNumber","ObjectName","GeneralDescription","model","SerialNumber","Manufacturer","ManuCountry","ManuProvince","ManuCity","BeginDate","EndDate","date_qualifier","patent","NumberOfComponents","ArtifactFinish","ContextCanada","ContextFunction","ContextTechnical","group1","category1","subcategory1","group2","category2","subcategory2","group3","category3","subcategory3","material","Length","Width","Height","Thickness","Weight","Diameter","image","thumbnail"
"1966.0001.001","Cover","PAPER","WESTERN CANADA AIRWAYS LTD.","","Unknown","Unknown","","","1927","","","","1","","AT THE TIME IT WAS THE WORLD'S MOST NORTHERNLY AIR SERVICE","","","Aviation","Commemorative","Stamps & coins","","","","","","","paper","4.5 cm","2.6 cm","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0001.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0001.001.aa.cs.thumb.png"
"1966.0002.001","Stamp, postage","PAPER","WESTERN CANADA AIRWAYS LTD.","","Unknown","Unknown","","","1927","","","","1","PINK & BLACK ON WHITE","","","","Aviation","Commemorative","Stamps & coins","","","","","","","paper","3.8 cm","2.7 cm","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0002.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0002.001.aa.cs.thumb.png"
"1966.0003.001","Stamp, postage","PAPER","","","Unknown","Unknown","","","1932","","","","1","DARK & PALE BLUE ON WHITE","","","","Aviation","Commemorative","Stamps & coins","","","","","","","paper","12.8 cm","8.4 cm","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0003.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0003.001.aa.cs.thumb.png"
"1966.0004.001","Stamp, postage","PAPER","ELLIOT, JACK V. AIR SERVICE","","Unknown","Unknown","","","1926","","","","1","RED ON YELLOW WITH SHADED ZIG-ZAG LINE BACKGROUND","","","","Aviation","Commemorative","Stamps & coins","","","","","","","paper","22.4 cm","9.0 cm","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0004.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0004.001.aa.cs.thumb.png"
"1966.0005.001","Stamp, postage","PAPER","ELLIOT-FAIRCHILD AIR SERVICE","","Unknown","Unknown","","","1926","","","","1","RED ON YELLOW WITH SWASTIKA BACKGROUND","","","","Aviation","Commemorative","Stamps & coins","","","","","","","paper","22.7 cm","9.5 cm","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0005.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0005.001.aa.cs.thumb.png"
"1966.0006.001","Clock","WOOD (PINE) CASE & PENDULUM/ BRASS MECHANISM","","35","REGULA","","","","1945","","after","","1","CASE PAINTED MEDIUM BROWN/ DARK BROWN DIAL/ DARK BROWN WEIGHTS CAST IN ACORN SHAPE/ RED, YELLOW, GREEN, & BROWN PAINTED MOULDINGS & PENDULUM/ WHITE HAND & NUMERALS ON DIAL","","","","Horology","Clocks","Domestic","","","","","","","wood->pine~metal->brass","","","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0006.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0006.001.aa.cs.thumb.png"
"1966.0007.001","Thermometer","METAL CASING/ PAPER? FACE/ GLASS OR SYNTHETIC FRONT.","","","Unknown","Unknown","","","1930","","circa","","1","COPPER COLOURED CASING/ BLACK INDICATOR NEEDLE","","AN INSTRUMENT THAT MEASURES ATMOSPHERIC TEMPERATURE THROUGH THE DEFORMATION OF A BIMETALLIC SENSOR, DISPLAYING THE READINGS ON A DIAL INDICATOR.","","Meteorology","Atmospheric temperature measurement","Indicators","","","","","","","metal~paper~glass~synthetic","","23.2 cm","3.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0007.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0007.001.aa.cs.thumb.png"
"1966.0008.001","Relay","GLASS, METAL, SYNTHETIC/ CARDBOARD BOX","501","","Edison, Thomas A. Industries","United States of America","New jersey","West orange","1950","1960","circa","","1","","","USED IN AN ELECTRIC CIRCUIT TO MAKE OR BREAK ONE OR MORE CONNECTIONS IN THE SAME OR ANOTHER CIRCUIT","","Energy-electric","Electricity & electronics","Electronics-vacuum","","","","","","","glass~metal~synthetic~paper","9.4 cm","3.2 cm","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0008.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0008.001.aa.cs.thumb.png"
"1966.0009.001","Propeller","Wooden propeller with metal sheathing attached to leading edges","JUPITER XI","12428B","Unknown","Unknown","","","1929","","","","1","METAL LEADING EDGE/ PAINTED BLACK/ SCRATCHED & DIRTY/ HUB HAS HOLES","","Aircraft propulsion","","Aviation","Aircraft parts","","","","","","","","wood~metal","340.0 cm","30.0 cm","15.0 cm","","18.5 kg","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0009.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0009.001.aa.cs.thumb.png"
"1966.0011.001","Propeller","WOOD~ FIBRE","MERLIN II","H1454","Unknown","Unknown","","","1939","","","","1","PAINTED YELLOW & SILVER","THE BCATP TRAINED COMMONWEALTH AND ALLIED AIR CREW AND WAS A SIGNIFICANT CANADIAN AND IN PARTICULAR RCAF CONTRIBUTION TO THE WAR EFFORT","LIST & COMMEMORATE AERO ENGINE MECHANICS TRAINED IN WINNIPEG AS PART OF BRITISH COMMONWEALTH AIR TRAINING PLAN (BCATP)","","Aviation","Aircraft parts","","","","","","","","wood~fibre","","31.0 cm","26.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0011.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0011.001.aa.cs.thumb.png"
